epoch,train_loss,mIoU,R@1_IoU_0.3,R@1_IoU_0.5,R@1_IoU_0.7
1,8.441778640593252,0.333198431778363,0.5168269230769231,0.30408653846153844,0.1486378205128205
2,7.966838504422095,0.3872772420265154,0.6029647435897436,0.36498397435897434,0.17467948717948717
3,7.3334099215845905,0.39867849615321643,0.6073717948717948,0.3970352564102564,0.19911858974358973
4,6.7654676006686305,0.3922929836350847,0.5977564102564102,0.39463141025641024,0.20272435897435898
5,6.421828089990924,0.3938907400230294,0.5969551282051282,0.39463141025641024,0.20192307692307693
